CustomerCode,Status,Name,EmailAddress,FirstName,LastName,POAttentionTo,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PORoute,POAvailability,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,SALegacyCode,SAId,SARoute,SAAvailability,PhoneNumber,FaxNumber,MobileNumber,DDINumber,SkypeName,BankAccountName,BankAccountNumber,BankAccountParticulars,TaxNumber,AccountsReceivableTaxCodeName,AccountsPayableTaxCodeName,Website,Discount,DueDateBillDay,DueDateBillTerm,DueDateSalesDay,DueDateSalesTerm
,Live,Nine Yards,"Accounts@nineyardseatery.com.au","","",,"228-230 Dorcas St","","",,"South Melbourne",,"3205",,,0111111,,"228-230 Dorcas St","","",,"South Melbourne",,"3205",,"363",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Nine Yards,"Accounts@nineyardseatery.com.au","","",,"228-230 Dorcas St","","",,"South Melbourne",,"3205",,,0111111,,"272-274 Union Road","","",,"Moonee Ponds",,"3039",,"1282",,,0011111,"",,,,,,,,,,,,,,,,
,Live,Small Cups Coffee,"smallcapscoffee@gmail.com","Julian","Chew",,"70 Burwood Road, Hawthorn ","","Victoria",,"Hawthorn",,"3122",,,0111111,,"70 Burwood Road, Hawthorn ","","Victoria",,"Hawthorn",,"3122",,"696",,,0111111,"0410336323",,,,,,,,,,,,,,,,
,Live,Zoux Bar (Brighton),"zoe@zouxbar.com","","",,"105 Church Street,Brighton","Brighton","Victoria",,"BRIGHTON",,"3186",,,0111111,,"105 Church Street,Brighton","Brighton","Victoria",,"BRIGHTON",,"3186",,"697",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Vermont General Store,"nicky@onlyhospitalitygroup.com.au","","",,"37 Centre Road,Vermont","Vermont","",,"Vermont",,"3137",,,0111111,,"37 Centre Road,Vermont","Vermont","",,"Vermont",,"3137",,"698",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Monets Grocer,"amyrmoner@gmail.com","","",,"783 Centre Road East Betleigh ","","Victoria",,"East Benteigh",,"3165",,,0111111,,"783 Centre Road East Betleigh ","","Victoria",,"East Benteigh",,"3165",,"699",,,0111111,"0439004718",,,,,,,,,,,,,,,,
,Not Live,Yolo Gluten Free,"accounts@yologourmet.com.au","","",,"27 Pier St, Dromana","Dromana","",,"Dromana",,"3936",,,0111111,,"27 Pier St, Dromana","Dromana","",,"Dromana",,"3936",,"700",,,0111111,"0443796053",,,,,,,,,,,,,,,,
,Live,Maca Gold Organic,"Orders@macagold.com.au","Maca Gold Organic","",,"31 Parkhurst Dr","N/A","",,"Knoxfield",,"3180",,,0111111,,"31 Parkhurst Dr","N/A","",,"Knoxfield",,"3180",,"701",,,0111111,"0359418848",,,,,,,,,,,,,,,,
,Live,John Gorilla,"Danialwaters22@gmail.com","Danial","Waters",,"49 Pearson Street","","",,"Brunswick west",,"3055",,,0111111,,"49 Pearson Street","","",,"Brunswick west",,"3055",,"703",,,0111111,"0421792196",,,,,,,,,,,,,,,,
,Live,Cherry and Twigs,"cherry.and.twigs@gmail.com","Rhesa","Limansyah",,"Shop 1B 555 Flinders Lane Melbourne  3000","","",,"Melbourne",,"3000",,,0111111,,"Shop 1B 555 Flinders Lane Melbourne  3000","","",,"Melbourne",,"3000",,"705",,,0111111,"0431635521",,,,,,,,,,,,,,,,
,Live,Eight point Eight Cafe,"eat@eightpointeightounce.com.au","","",,"31A SUMMERHILL ROAD","Brighton East","",,"MELBOURNE",,"3187",,,0111111,,"31A SUMMERHILL ROAD","Brighton East","",,"MELBOURNE",,"3187",,"706",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Alberton Cafe,"liquoricecatering@gmail.com","","",,"198-200 Bridport street","Albert Park","",,"Melbourne",,"3206",,,0111111,,"198-200 Bridport street","Albert Park","",,"Melbourne",,"3206",,"707",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Retail customer: Natalie QLD,"natmonks@yahoo.com.au","Natalie","Monks",,"1/8 Morotai Ave","","",,"Palm Beach",,"4221",,,0111000,,"1/8 Morotai Ave","","",,"Palm Beach",,"4221",,"708",,,0111000,"",,,,,,,,,,,,,,,,
,Live,Lisa Frankel,"lisavp@gmail.com","Lisa","Frankel (Previous Owners of Papa Bear)",,"45 Yarrayne st","","",,"Rye",,"3941",,,0111010,,"45 Yarrayne st","","",,"Rye",,"3941",,"709",,,0111010,"",,,,,,,,,,,,,,,,
,Live,GF Pantry,"orders@gfpantry.com.au","Andrew","Edwards",,"16B Heversham Drive","","",,"Seaford",,"3198",,,0111111,,"16B Heversham Drive","","",,"Seaford",,"3198",,"711",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Ceres Grocery Store,"barbara@ceres.org.au","","",,"Grocery Store Corner Robert & Stewart Street","Brunswick East","",,"Melbourne",,"3057",,,0111111,,"Grocery Store Corner Robert & Stewart Street","Brunswick East","",,"Melbourne",,"3057",,"712",,,0111111,"",,,,,,,,,,,,,,,,
,Live,The Organic Hive,"hello@organichive.com.au","Shady","Elbelli",,"42 OLSEN RETREAT","CAROLINE SPRINGS","",,"caroline springs",,"3023",,,0111111,,"42 OLSEN RETREAT","CAROLINE SPRINGS","",,"caroline springs",,"3023",,"713",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Retail Customer:Danielle,"dewdrop1@bigpond.com","DANIELLE","WEGMANN",,"23 Tree Change way","Woodend","",,"Woodend",,"3442",,,0111010,,"23 Tree Change way","Woodend","",,"Woodend",,"3442",,"714",,,0111010,"",,,,,,,,,,,,,,,,
,Live,Body Wise Clinic,"hello@bodywiseclinic.com","Vanessa","Trangolas",,"356 Edgars Road","Lalor","",,"Lalor",,"3075",,,0111111,,"356 Edgars Road","Lalor","",,"Lalor",,"3075",,"715",,,0111111,"",,,,,,,,,,,,,,,,
,Live,85 espresso,"hello@85espresso.com.au","Razi","",,"85 Hudsons Road","Spotswood","",,"spotswood",,"3015",,,0111111,,"85 Hudsons Road","Spotswood","",,"spotswood",,"3015",,"716",,,0111111,"",,,,,,,,,,,,,,,,
,Live,Urban Provedore,"christopher.khoury@hotmail.com","","",,"231 Toorak Road","south yarra","",,"south yarra",,"3141",,,0111111,,"231 Toorak Road","south yarra","",,"south yarra",,"3141",,"717",,,0111111,"",,,,,,,,,,,,,,,,
